id,serial_number,name,platform_variant,sub_system,status,sap_part_number,customer_part_number,make,model,software_version
5039,LRU-4107,Audio Mixer,Simulator Prime - (SIM-3001),Audio,Active,10000000005038,80003038,VajraCorp,VC-Audio-V1,1.0.4
5040,LRU-4108,Speaker Array,Simulator Prime - (SIM-3001),Audio,Active,10000000005039,80003039,VajraCorp,VC-Speaker-V1,1.0.4
5041,LRU-4109,Simulation Core,Simulator Prime - (SIM-3001),Software,Active,10000000005040,80003040,VajraCorp,VC-Simulation-V1,1.0.4
5042,LRU-4110,Scenario Engine,Simulator Prime - (SIM-3001),Software,Active,10000000005041,80003041,VajraCorp,VC-Scenario-V1,1.0.4
5043,LRU-1201,Guidance Module B,LM Bravo - (LM-0002),Navigation,Active,10000000005042,80003042,VajraCorp,VC-Guidance-V1,1.0.4
5044,LRU-1202,Airframe Sensor Pack B,LM Bravo - (LM-0002),Airframe,Active,10000000005043,80003043,VajraCorp,VC-Airframe-V1,1.0.4
5045,LRU-1203,Airframe Control Unit B,LM Bravo - (LM-0002),Airframe,Active,10000000005044,80003044,VajraCorp,VC-Airframe-V1,1.0.4
5046,LRU-1204,Propulsion Pump B,LM Bravo - (LM-0002),Propulsion,Active,10000000005045,80003045,VajraCorp,VC-Propulsion-V1,1.0.4
5047,LRU-1205,Propulsion Controller B,LM Bravo - (LM-0002),Propulsion,Active,10000000005046,80003046,VajraCorp,VC-Propulsion-V1,1.0.4
5048,LRU-1206,Flight Computer B,LM Bravo - (LM-0002),Avionics & Flight Control,Active,10000000005047,80003047,VajraCorp,VC-Flight-V1,1.0.4
5049,LRU-1207,Autopilot Module B,LM Bravo - (LM-0002),Avionics & Flight Control,Active,10000000005048,80003048,VajraCorp,VC-Autopilot-V1,1.0.4
5050,LRU-1208,Data Link Radio B,LM Bravo - (LM-0002),Communication,Active,10000000005049,80003049,VajraCorp,VC-Data-V1,1.0.4
5051,LRU-1209,Antenna Array B,LM Bravo - (LM-0002),Communication,Active,10000000005050,80003050,VajraCorp,VC-Antenna-V1,1.0.4
5052,LRU-1210,Payload Control Unit B,LM Bravo - (LM-0002),Payload,Active,10000000005051,80003051,VajraCorp,VC-Payload-V1,1.0.4
5053,LRU-1211,Payload Sensor B,LM Bravo - (LM-0002),Payload,Active,10000000005052,80003052,VajraCorp,VC-Payload-V1,1.0.4
